user,date,transaction_type,amount
8e9d63cd-ce72-48e7-9082-67164ec83468,2020-05-01,DEBIT,20378
8e9d63cd-ce72-48e7-9082-67164ec83468,2020-05-25,DEBIT,14275
8e9d63cd-ce72-48e7-9082-67164ec83468,2020-05-31,DEBIT,92623
8e9d63cd-ce72-48e7-9082-67164ec83468,2020-06-13,CREDIT,74588
8e9d63cd-ce72-48e7-9082-67164ec83468,2020-06-26,DEBIT,31180
8e9d63cd-ce72-48e7-9082-67164ec83468,2020-10-03,CREDIT,47739
8e9d63cd-ce72-48e7-9082-67164ec83468,2020-08-11,CREDIT,58640
8e9d63cd-ce72-48e7-9082-67164ec83468,2020-11-06,DEBIT,21524
8e9d63cd-ce72-48e7-9082-67164ec83468,2020-06-25,DEBIT,71720
8e9d63cd-ce72-48e7-9082-67164ec83468,2020-04-22,CREDIT,65476
8e9d63cd-ce72-48e7-9082-67164ec83468,2020-05-04,CREDIT,77833
8e9d63cd-ce72-48e7-9082-67164ec83468,2020-03-08,DEBIT,47078
8e9d63cd-ce72-48e7-9082-67164ec83468,2020-12-20,CREDIT,86467
8e9d63cd-ce72-48e7-9082-67164ec83468,2020-05-30,DEBIT,44920
8e9d63cd-ce72-48e7-9082-67164ec83468,2020-06-18,DEBIT,52496
8e9d63cd-ce72-48e7-9082-67164ec83468,2020-04-23,CREDIT,59584
8e9d63cd-ce72-48e7-9082-67164ec83468,2020-12-02,CREDIT,83724
8e9d63cd-ce72-48e7-9082-67164ec83468,2020-05-10,DEBIT,94347
8e9d63cd-ce72-48e7-9082-67164ec83468,2020-09-20,CREDIT,13532
8e9d63cd-ce72-48e7-9082-67164ec83468,2020-02-22,DEBIT,49858
8e9d63cd-ce72-48e7-9082-67164ec83468,2020-10-07,DEBIT,75117
8e9d63cd-ce72-48e7-9082-67164ec83468,2020-01-13,CREDIT,29582
8e9d63cd-ce72-48e7-9082-67164ec83468,2020-11-20,CREDIT,40572
8e9d63cd-ce72-48e7-9082-67164ec83468,2020-03-30,CREDIT,31305
8e9d63cd-ce72-48e7-9082-67164ec83468,2020-08-22,DEBIT,19790
8e9d63cd-ce72-48e7-9082-67164ec83468,2020-02-15,DEBIT,65417
8e9d63cd-ce72-48e7-9082-67164ec83468,2020-01-13,CREDIT,36307
6ad27dc7-9859-4353-ba12-991bec841c81,2020-09-08,DEBIT,82443
6ad27dc7-9859-4353-ba12-991bec841c81,2020-01-13,DEBIT,74796
6ad27dc7-9859-4353-ba12-991bec841c81,2020-10-15,CREDIT,55239
6ad27dc7-9859-4353-ba12-991bec841c81,2020-07-24,CREDIT,9764
6ad27dc7-9859-4353-ba12-991bec841c81,2020-05-23,DEBIT,19345
6ad27dc7-9859-4353-ba12-991bec841c81,2020-12-20,CREDIT,49158
6ad27dc7-9859-4353-ba12-991bec841c81,2020-09-09,CREDIT,87827
6ad27dc7-9859-4353-ba12-991bec841c81,2020-03-14,CREDIT,37153
6ad27dc7-9859-4353-ba12-991bec841c81,2020-09-20,DEBIT,88464
6ad27dc7-9859-4353-ba12-991bec841c81,2020-08-19,CREDIT,26050
6ad27dc7-9859-4353-ba12-991bec841c81,2020-02-24,CREDIT,43861
6ad27dc7-9859-4353-ba12-991bec841c81,2020-11-19,DEBIT,31329
6ad27dc7-9859-4353-ba12-991bec841c81,2020-01-02,DEBIT,98288
6ad27dc7-9859-4353-ba12-991bec841c81,2020-06-03,DEBIT,8265
6ad27dc7-9859-4353-ba12-991bec841c81,2020-01-28,CREDIT,7071
6ad27dc7-9859-4353-ba12-991bec841c81,2020-04-09,DEBIT,41697
6ad27dc7-9859-4353-ba12-991bec841c81,2020-05-31,DEBIT,55603
6ad27dc7-9859-4353-ba12-991bec841c81,2020-11-09,DEBIT,54127
6ad27dc7-9859-4353-ba12-991bec841c81,2020-04-19,DEBIT,52820
6ad27dc7-9859-4353-ba12-991bec841c81,2020-09-03,CREDIT,73620
6ad27dc7-9859-4353-ba12-991bec841c81,2020-06-08,CREDIT,66209
6ad27dc7-9859-4353-ba12-991bec841c81,2020-08-07,CREDIT,58381
6ad27dc7-9859-4353-ba12-991bec841c81,2020-03-19,CREDIT,48216
6ad27dc7-9859-4353-ba12-991bec841c81,2020-12-29,DEBIT,22108
6ad27dc7-9859-4353-ba12-991bec841c81,2020-04-13,CREDIT,34198
6ad27dc7-9859-4353-ba12-991bec841c81,2020-08-19,DEBIT,33364
6ad27dc7-9859-4353-ba12-991bec841c81,2020-12-21,CREDIT,86784
6ad27dc7-9859-4353-ba12-991bec841c81,2020-03-24,DEBIT,93755
6ad27dc7-9859-4353-ba12-991bec841c81,2020-06-30,DEBIT,3198
6ad27dc7-9859-4353-ba12-991bec841c81,2020-08-27,DEBIT,82542
6ad27dc7-9859-4353-ba12-991bec841c81,2020-10-10,DEBIT,86116
6ad27dc7-9859-4353-ba12-991bec841c81,2020-03-24,CREDIT,26937
6ad27dc7-9859-4353-ba12-991bec841c81,2020-04-23,CREDIT,89800
6ad27dc7-9859-4353-ba12-991bec841c81,2020-06-30,CREDIT,27267
6ad27dc7-9859-4353-ba12-991bec841c81,2020-03-23,DEBIT,35173
6ad27dc7-9859-4353-ba12-991bec841c81,2020-05-06,CREDIT,52997
6ad27dc7-9859-4353-ba12-991bec841c81,2020-10-08,DEBIT,22142
6ad27dc7-9859-4353-ba12-991bec841c81,2020-01-31,DEBIT,58735
b0579184-1d64-443b-8a6d-beda8c9f3b47,2020-02-17,DEBIT,82777
b0579184-1d64-443b-8a6d-beda8c9f3b47,2020-09-29,CREDIT,54127
b0579184-1d64-443b-8a6d-beda8c9f3b47,2020-01-05,CREDIT,68852
b0579184-1d64-443b-8a6d-beda8c9f3b47,2020-08-11,DEBIT,358
b0579184-1d64-443b-8a6d-beda8c9f3b47,2020-11-24,DEBIT,57348
b0579184-1d64-443b-8a6d-beda8c9f3b47,2020-04-11,DEBIT,12712
b0579184-1d64-443b-8a6d-beda8c9f3b47,2020-04-02,DEBIT,26528
b0579184-1d64-443b-8a6d-beda8c9f3b47,2020-07-13,DEBIT,10800
b0579184-1d64-443b-8a6d-beda8c9f3b47,2020-04-10,CREDIT,39998
b0579184-1d64-443b-8a6d-beda8c9f3b47,2020-02-26,DEBIT,83416
b0579184-1d64-443b-8a6d-beda8c9f3b47,2020-11-28,CREDIT,57790
b0579184-1d64-443b-8a6d-beda8c9f3b47,2020-10-11,DEBIT,38277
b0579184-1d64-443b-8a6d-beda8c9f3b47,2020-03-24,CREDIT,56078
b0579184-1d64-443b-8a6d-beda8c9f3b47,2020-10-25,DEBIT,58926
b0579184-1d64-443b-8a6d-beda8c9f3b47,2020-12-18,CREDIT,96876
b0579184-1d64-443b-8a6d-beda8c9f3b47,2020-09-23,CREDIT,16210
b0579184-1d64-443b-8a6d-beda8c9f3b47,2020-01-21,CREDIT,91645
b0579184-1d64-443b-8a6d-beda8c9f3b47,2020-03-17,DEBIT,97961
b0579184-1d64-443b-8a6d-beda8c9f3b47,2020-07-29,CREDIT,95759
b0579184-1d64-443b-8a6d-beda8c9f3b47,2020-07-15,CREDIT,31431
b0579184-1d64-443b-8a6d-beda8c9f3b47,2020-03-04,DEBIT,74540
b0579184-1d64-443b-8a6d-beda8c9f3b47,2020-10-09,DEBIT,10843
b0579184-1d64-443b-8a6d-beda8c9f3b47,2020-12-27,DEBIT,86109
b0579184-1d64-443b-8a6d-beda8c9f3b47,2020-07-14,CREDIT,60748
b0579184-1d64-443b-8a6d-beda8c9f3b47,2020-09-02,CREDIT,76444
b0579184-1d64-443b-8a6d-beda8c9f3b47,2020-05-25,CREDIT,65776
b0579184-1d64-443b-8a6d-beda8c9f3b47,2020-06-18,DEBIT,67316
b0579184-1d64-443b-8a6d-beda8c9f3b47,2020-01-16,DEBIT,62736
b0579184-1d64-443b-8a6d-beda8c9f3b47,2020-01-23,DEBIT,44512
b0579184-1d64-443b-8a6d-beda8c9f3b47,2020-12-29,CREDIT,62258
b0579184-1d64-443b-8a6d-beda8c9f3b47,2020-06-07,DEBIT,61458
b0579184-1d64-443b-8a6d-beda8c9f3b47,2020-07-09,CREDIT,95752
b0579184-1d64-443b-8a6d-beda8c9f3b47,2020-01-09,CREDIT,79022
b0579184-1d64-443b-8a6d-beda8c9f3b47,2020-12-21,DEBIT,83455
b0579184-1d64-443b-8a6d-beda8c9f3b47,2020-07-23,CREDIT,6574
b0579184-1d64-443b-8a6d-beda8c9f3b47,2020-06-02,DEBIT,88765
b0579184-1d64-443b-8a6d-beda8c9f3b47,2020-07-30,CREDIT,19547
b0579184-1d64-443b-8a6d-beda8c9f3b47,2020-09-15,DEBIT,78217
b0579184-1d64-443b-8a6d-beda8c9f3b47,2020-10-19,CREDIT,61995
b0579184-1d64-443b-8a6d-beda8c9f3b47,2020-06-25,CREDIT,31035
b0579184-1d64-443b-8a6d-beda8c9f3b47,2020-11-23,DEBIT,3336
b0579184-1d64-443b-8a6d-beda8c9f3b47,2020-05-17,CREDIT,3641
b0579184-1d64-443b-8a6d-beda8c9f3b47,2020-07-06,CREDIT,49984
b0579184-1d64-443b-8a6d-beda8c9f3b47,2020-06-28,DEBIT,29802
32045698-2650-4b46-98b7-c48afd73a975,2020-10-10,CREDIT,1118
32045698-2650-4b46-98b7-c48afd73a975,2020-05-11,CREDIT,93571
32045698-2650-4b46-98b7-c48afd73a975,2020-05-11,DEBIT,98453
32045698-2650-4b46-98b7-c48afd73a975,2020-02-07,DEBIT,12305
32045698-2650-4b46-98b7-c48afd73a975,2020-07-08,DEBIT,74675
32045698-2650-4b46-98b7-c48afd73a975,2020-09-30,DEBIT,30510
32045698-2650-4b46-98b7-c48afd73a975,2020-12-12,CREDIT,82108
32045698-2650-4b46-98b7-c48afd73a975,2020-11-20,DEBIT,30240
32045698-2650-4b46-98b7-c48afd73a975,2020-01-26,DEBIT,76532
32045698-2650-4b46-98b7-c48afd73a975,2020-03-29,CREDIT,39677
32045698-2650-4b46-98b7-c48afd73a975,2020-07-13,DEBIT,49427
32045698-2650-4b46-98b7-c48afd73a975,2020-02-12,DEBIT,59204
32045698-2650-4b46-98b7-c48afd73a975,2020-04-18,DEBIT,72012
32045698-2650-4b46-98b7-c48afd73a975,2020-05-26,CREDIT,57878
32045698-2650-4b46-98b7-c48afd73a975,2020-06-20,CREDIT,79399
32045698-2650-4b46-98b7-c48afd73a975,2020-10-24,CREDIT,47592
32045698-2650-4b46-98b7-c48afd73a975,2020-12-03,DEBIT,40681
32045698-2650-4b46-98b7-c48afd73a975,2020-02-08,CREDIT,94857
32045698-2650-4b46-98b7-c48afd73a975,2020-06-05,CREDIT,69863
32045698-2650-4b46-98b7-c48afd73a975,2020-09-03,CREDIT,65018
32045698-2650-4b46-98b7-c48afd73a975,2020-10-01,DEBIT,70449
32045698-2650-4b46-98b7-c48afd73a975,2020-01-08,DEBIT,97109
32045698-2650-4b46-98b7-c48afd73a975,2020-04-14,DEBIT,4723
32045698-2650-4b46-98b7-c48afd73a975,2020-05-29,CREDIT,73246
32045698-2650-4b46-98b7-c48afd73a975,2020-07-07,CREDIT,41364
32045698-2650-4b46-98b7-c48afd73a975,2020-08-26,CREDIT,94278
32045698-2650-4b46-98b7-c48afd73a975,2020-12-22,CREDIT,74592
32045698-2650-4b46-98b7-c48afd73a975,2020-04-30,CREDIT,14411
32045698-2650-4b46-98b7-c48afd73a975,2020-10-08,DEBIT,91063
32045698-2650-4b46-98b7-c48afd73a975,2020-07-24,DEBIT,26363
32045698-2650-4b46-98b7-c48afd73a975,2020-06-06,CREDIT,93506
32045698-2650-4b46-98b7-c48afd73a975,2020-08-30,DEBIT,79761
32045698-2650-4b46-98b7-c48afd73a975,2020-02-15,DEBIT,57638
32045698-2650-4b46-98b7-c48afd73a975,2020-09-01,DEBIT,28334
32045698-2650-4b46-98b7-c48afd73a975,2020-06-14,DEBIT,30913
32045698-2650-4b46-98b7-c48afd73a975,2020-02-28,CREDIT,14560
32045698-2650-4b46-98b7-c48afd73a975,2020-11-12,DEBIT,29908
32045698-2650-4b46-98b7-c48afd73a975,2020-08-09,CREDIT,52531
32045698-2650-4b46-98b7-c48afd73a975,2020-11-28,DEBIT,93289
32045698-2650-4b46-98b7-c48afd73a975,2020-06-24,DEBIT,90971
9ba55c4f-1b54-4bf3-b10a-1c4352355edf,2020-11-07,CREDIT,84800
9ba55c4f-1b54-4bf3-b10a-1c4352355edf,2020-01-09,DEBIT,28366
9ba55c4f-1b54-4bf3-b10a-1c4352355edf,2020-10-14,CREDIT,81023
9ba55c4f-1b54-4bf3-b10a-1c4352355edf,2020-06-24,DEBIT,98777
9ba55c4f-1b54-4bf3-b10a-1c4352355edf,2020-11-29,DEBIT,8157
9ba55c4f-1b54-4bf3-b10a-1c4352355edf,2020-04-27,CREDIT,30126
9ba55c4f-1b54-4bf3-b10a-1c4352355edf,2020-03-29,DEBIT,75158
9ba55c4f-1b54-4bf3-b10a-1c4352355edf,2020-05-15,DEBIT,79042
9ba55c4f-1b54-4bf3-b10a-1c4352355edf,2020-07-31,DEBIT,68746
9ba55c4f-1b54-4bf3-b10a-1c4352355edf,2020-06-25,CREDIT,86767
9ba55c4f-1b54-4bf3-b10a-1c4352355edf,2020-11-07,CREDIT,78002
9ba55c4f-1b54-4bf3-b10a-1c4352355edf,2020-12-14,CREDIT,54772
9ba55c4f-1b54-4bf3-b10a-1c4352355edf,2020-09-30,CREDIT,6751
9ba55c4f-1b54-4bf3-b10a-1c4352355edf,2020-07-19,DEBIT,78161
9ba55c4f-1b54-4bf3-b10a-1c4352355edf,2020-03-15,CREDIT,56187
9ba55c4f-1b54-4bf3-b10a-1c4352355edf,2020-07-01,DEBIT,31627
9ba55c4f-1b54-4bf3-b10a-1c4352355edf,2020-07-05,DEBIT,51792
9ba55c4f-1b54-4bf3-b10a-1c4352355edf,2020-07-09,CREDIT,82862
9ba55c4f-1b54-4bf3-b10a-1c4352355edf,2020-04-17,CREDIT,23746
9ba55c4f-1b54-4bf3-b10a-1c4352355edf,2020-01-23,CREDIT,70275
9ba55c4f-1b54-4bf3-b10a-1c4352355edf,2020-08-14,DEBIT,9534
9ba55c4f-1b54-4bf3-b10a-1c4352355edf,2020-01-15,CREDIT,31801
9ba55c4f-1b54-4bf3-b10a-1c4352355edf,2020-04-20,DEBIT,74595
9ba55c4f-1b54-4bf3-b10a-1c4352355edf,2020-04-01,CREDIT,72038
9ba55c4f-1b54-4bf3-b10a-1c4352355edf,2020-09-01,CREDIT,21629
9ba55c4f-1b54-4bf3-b10a-1c4352355edf,2020-12-25,DEBIT,36586
58fa35a1-0d46-4423-b260-bd0d621ea805,2020-03-02,CREDIT,26696
58fa35a1-0d46-4423-b260-bd0d621ea805,2020-12-29,DEBIT,94549
58fa35a1-0d46-4423-b260-bd0d621ea805,2020-12-02,CREDIT,51241
babd8ca0-8163-463c-b981-57e45d9de6fc,2020-09-29,DEBIT,84757
babd8ca0-8163-463c-b981-57e45d9de6fc,2020-05-19,CREDIT,27504
babd8ca0-8163-463c-b981-57e45d9de6fc,2020-01-18,DEBIT,15685
babd8ca0-8163-463c-b981-57e45d9de6fc,2020-02-15,DEBIT,22327
babd8ca0-8163-463c-b981-57e45d9de6fc,2020-05-17,CREDIT,52891
babd8ca0-8163-463c-b981-57e45d9de6fc,2020-02-03,DEBIT,10998
